Gene_ID	module
AgateH2.01G051100	brown
AgateH2.01G051200	purple
AgateH2.01G051500	blue
AgateH2.01G051600	salmon2
AgateH2.01G051700	magenta
AgateH2.01G051800	magenta4
AgateH2.01G051900	violet
AgateH2.01G052100	orangered4
AgateH2.01G052400	darkseagreen4
AgateH2.01G052700	floralwhite
AgateH2.01G052800	darkgreen
AgateH2.01G052900	darkturquoise
AgateH2.01G053000	lightcyan
AgateH2.01G053200	darkseagreen4
AgateH2.01G053400	darkolivegreen4
AgateH2.01G053500	violet
AgateH2.01G053600	brown
AgateH2.01G053700	red
AgateH2.01G054100	darkslateblue
AgateH2.01G054300	darkolivegreen4
AgateH2.01G054500	saddlebrown
AgateH2.01G054600	purple
AgateH2.01G054700	darkturquoise
AgateH2.01G054800	orangered4
AgateH2.01G054900	royalblue
AgateH2.01G055100	green
AgateH2.01G055300	firebrick3
AgateH2.01G055400	blue2
AgateH2.01G055700	violet
AgateH2.01G056000	floralwhite
AgateH2.01G056100	firebrick3
AgateH2.01G056400	navajowhite2
AgateH2.01G056500	blue
AgateH2.01G056600	darkorange2
AgateH2.01G057200	plum1
AgateH2.01G057400	cyan
AgateH2.01G057600	thistle
AgateH2.01G057900	magenta4
AgateH2.01G058000	green
AgateH2.01G058100	violet
AgateH2.01G058200	lightblue4
AgateH2.01G058300	lightcyan1
AgateH2.01G059000	greenyellow
AgateH2.01G059100	lightsteelblue1
AgateH2.01G059200	brown
AgateH2.01G059300	darkmagenta
AgateH2.01G059400	royalblue
AgateH2.01G059500	darkslateblue
AgateH2.01G059700	brown
AgateH2.01G059800	lightblue4
AgateH2.01G060100	black
AgateH2.01G060200	floralwhite
AgateH2.01G060300	lightcyan
AgateH2.01G060400	mediumpurple2
AgateH2.01G060700	greenyellow
AgateH2.01G061100	cyan
AgateH2.01G061300	brown
AgateH2.01G061400	red
AgateH2.01G061500	palevioletred2
AgateH2.01G061600	red
AgateH2.01G062000	brown
AgateH2.01G062200	blue2
AgateH2.01G062300	darkslateblue
AgateH2.01G062500	darkturquoise
AgateH2.01G062700	royalblue
AgateH2.01G062800	brown
AgateH2.01G063100	floralwhite
AgateH2.01G063200	darkred
AgateH2.01G063400	darkorange2
AgateH2.01G063600	darkred
AgateH2.01G063700	grey60
AgateH2.01G064100	black
AgateH2.01G064200	blue
AgateH2.01G064400	cyan
AgateH2.01G064800	darkslateblue
AgateH2.01G064900	blue
AgateH2.01G065100	orange
AgateH2.01G065300	mediumpurple3
AgateH2.01G065400	brown
AgateH2.01G065500	paleturquoise
AgateH2.01G065600	violet
AgateH2.01G065700	lavenderblush3
AgateH2.01G065900	green
AgateH2.01G066000	darkred
AgateH2.01G066300	green
AgateH2.01G066500	darkgrey
AgateH2.01G066600	cyan
AgateH2.01G066700	floralwhite
AgateH2.01G066800	orangered4
AgateH2.01G066900	orangered4
AgateH2.01G067000	saddlebrown
AgateH2.01G067100	saddlebrown
AgateH2.01G067300	darkorange
AgateH2.01G067500	darkmagenta
AgateH2.01G067800	magenta
AgateH2.01G068000	violet
AgateH2.01G068200	brown
AgateH2.01G068300	plum
AgateH2.01G068400	paleturquoise
AgateH2.01G068500	lightslateblue
AgateH2.01G068800	purple
AgateH2.01G068900	greenyellow
AgateH2.01G069000	orangered4
AgateH2.01G069400	ivory
AgateH2.01G069500	antiquewhite2
AgateH2.01G070000	violet
AgateH2.01G070100	black
AgateH2.01G072600	grey60
AgateH2.01G072700	coral2
AgateH2.01G072800	firebrick4
AgateH2.01G073000	lightcyan1
AgateH2.01G073300	honeydew1
AgateH2.01G073700	orangered4
AgateH2.01G073800	royalblue
AgateH2.01G074100	darkred
AgateH2.01G074200	grey60
AgateH2.01G074400	red
AgateH2.01G074600	coral3
AgateH2.01G074700	greenyellow
AgateH2.01G074900	darkmagenta
AgateH2.01G075100	firebrick4
AgateH2.01G075400	darkorange2
AgateH2.01G075500	darkred
AgateH2.01G075700	thistle
AgateH2.01G075900	royalblue
AgateH2.01G076300	orangered4
AgateH2.01G076400	greenyellow
AgateH2.01G076500	magenta
AgateH2.01G076600	darkturquoise
AgateH2.01G076800	darkorange2
AgateH2.01G076900	magenta
AgateH2.01G077100	royalblue
AgateH2.01G077300	blue
AgateH2.01G077700	green
AgateH2.01G077900	purple
AgateH2.01G078100	paleturquoise
AgateH2.01G078200	darkmagenta
AgateH2.01G078300	violet
AgateH2.01G078400	black
AgateH2.01G078600	red
AgateH2.01G079100	white
AgateH2.01G079300	firebrick4
AgateH2.01G079400	navajowhite1
AgateH2.01G079500	floralwhite
AgateH2.01G079600	greenyellow
AgateH2.01G079900	black
AgateH2.01G080000	lightpink4
AgateH2.01G080200	violet
AgateH2.01G080300	salmon4
AgateH2.01G080600	magenta
AgateH2.01G080700	brown2
AgateH2.01G081000	magenta4
AgateH2.01G081300	sienna3
AgateH2.01G081500	violet
AgateH2.01G081800	darkorange2
AgateH2.01G082200	black
AgateH2.01G082300	red
AgateH2.01G082500	pink4
AgateH2.01G082600	firebrick3
AgateH2.01G082700	orangered4
AgateH2.01G082800	violet
AgateH2.01G083000	orangered4
AgateH2.01G083200	purple
AgateH2.01G083300	plum1
AgateH2.01G083400	orangered4
AgateH2.01G083700	salmon2
AgateH2.01G084100	navajowhite2
AgateH2.01G084200	palevioletred3
AgateH2.01G084300	saddlebrown
AgateH2.01G084500	darkslateblue
AgateH2.01G084600	coral3
AgateH2.01G084800	magenta4
AgateH2.01G084900	yellowgreen
AgateH2.01G085000	lightslateblue
AgateH2.01G085100	black
AgateH2.01G085200	lightcyan1
AgateH2.01G085400	antiquewhite4
AgateH2.01G085500	salmon4
AgateH2.01G085600	greenyellow
AgateH2.01G085700	darkturquoise
AgateH2.01G085800	green
AgateH2.01G085900	royalblue
AgateH2.01G086200	coral1
AgateH2.01G086300	blue
AgateH2.01G086400	orange
AgateH2.01G086500	palevioletred3
AgateH2.01G086700	lightslateblue
AgateH2.01G086800	salmon4
AgateH2.01G087100	salmon2
AgateH2.01G087200	cyan
AgateH2.01G087400	darkseagreen3
AgateH2.01G087600	cyan
AgateH2.01G087700	cyan
AgateH2.01G087800	orangered4
AgateH2.01G088000	firebrick3
AgateH2.01G088300	lightcyan
AgateH2.01G088400	orangered4
AgateH2.01G088500	saddlebrown
AgateH2.01G088700	lightcyan
AgateH2.01G088900	indianred4
AgateH2.01G089400	plum1
AgateH2.01G089500	magenta4
AgateH2.01G089600	magenta4
AgateH2.01G089800	magenta4
AgateH2.01G090000	brown
AgateH2.01G090200	brown
AgateH2.01G090300	black
AgateH2.01G090400	magenta
AgateH2.01G090500	black
AgateH2.01G090800	greenyellow
AgateH2.01G091400	cyan
AgateH2.01G091600	magenta
AgateH2.01G091900	green
AgateH2.01G092100	firebrick4
AgateH2.01G092200	saddlebrown
AgateH2.01G092800	red
AgateH2.01G093000	darkgreen
AgateH2.01G093100	firebrick3
AgateH2.01G093400	green
AgateH2.01G093500	floralwhite
AgateH2.01G093600	darkturquoise
AgateH2.01G093700	violet
AgateH2.01G093900	orangered4
AgateH2.01G094000	paleturquoise
AgateH2.01G094300	navajowhite1
AgateH2.01G094500	saddlebrown
AgateH2.01G094600	blue
AgateH2.01G095000	pink4
AgateH2.01G095100	firebrick4
AgateH2.01G095200	darkturquoise
AgateH2.01G095400	brown
AgateH2.01G095800	purple
AgateH2.01G095900	blue
AgateH2.01G096000	red
AgateH2.01G096100	purple
AgateH2.01G096200	orangered4
AgateH2.01G096300	navajowhite2
AgateH2.01G096400	magenta
AgateH2.01G096600	yellowgreen
AgateH2.01G096700	blue
AgateH2.01G096800	yellowgreen
AgateH2.01G097100	violet
AgateH2.01G097200	blue2
AgateH2.01G097300	lavenderblush3
AgateH2.01G097400	orangered4
AgateH2.01G097500	violet
AgateH2.01G097900	purple
AgateH2.01G098200	lightcyan
AgateH2.01G098300	brown
AgateH2.01G098500	darkseagreen3
AgateH2.01G098600	firebrick4
AgateH2.01G098700	floralwhite
AgateH2.01G098800	violet
AgateH2.01G099000	black
AgateH2.01G099200	floralwhite
AgateH2.01G099300	brown
AgateH2.01G099400	royalblue
AgateH2.01G099800	green
AgateH2.01G100200	darkred
AgateH2.01G100500	violet
AgateH2.01G100700	salmon2
AgateH2.01G101000	orange
AgateH2.01G101300	green
AgateH2.01G101500	magenta
AgateH2.01G101800	orangered4
AgateH2.01G101900	magenta
AgateH2.01G102100	magenta
AgateH2.01G102200	white
AgateH2.01G102300	indianred3
AgateH2.01G102500	lavenderblush3
AgateH2.01G102600	palevioletred3
AgateH2.01G102800	floralwhite
AgateH2.01G102900	floralwhite
AgateH2.01G103000	royalblue
AgateH2.01G103100	darkmagenta
AgateH2.01G103200	orange
AgateH2.01G103300	royalblue
AgateH2.01G103400	darkolivegreen
AgateH2.01G103800	brown
AgateH2.01G103900	lightslateblue
AgateH2.01G104000	sienna3
AgateH2.01G104100	greenyellow
AgateH2.01G104300	magenta4
AgateH2.01G104400	grey60
AgateH2.01G104600	royalblue
AgateH2.01G104800	firebrick3
AgateH2.01G104900	lightcyan1
AgateH2.01G105000	red
AgateH2.01G105100	plum
AgateH2.01G105200	cyan
AgateH2.01G105400	darkolivegreen
AgateH2.01G105500	thistle2
AgateH2.01G105800	saddlebrown
AgateH2.01G106300	lightyellow
AgateH2.01G106400	antiquewhite4
AgateH2.01G106600	yellowgreen
AgateH2.01G106800	mediumorchid
AgateH2.01G107100	coral2
AgateH2.01G107200	firebrick3
AgateH2.01G107300	paleturquoise
AgateH2.01G107400	magenta
AgateH2.01G107500	lightslateblue
AgateH2.01G107700	orangered4
AgateH2.01G107800	orangered1
AgateH2.01G107900	green
AgateH2.01G108100	brown
AgateH2.01G108200	firebrick4
AgateH2.01G108300	red
AgateH2.01G108400	magenta
AgateH2.01G108500	darkorange2
AgateH2.01G108600	red
AgateH2.01G108800	greenyellow
AgateH2.01G109000	darkturquoise
AgateH2.01G109100	violet
AgateH2.01G109200	darkmagenta
AgateH2.01G109800	firebrick4
AgateH2.01G109900	lightslateblue
AgateH2.01G110000	cyan
AgateH2.01G110300	orangered4
AgateH2.01G110400	paleturquoise
AgateH2.01G110500	magenta
AgateH2.01G110600	mediumpurple3
AgateH2.01G110800	yellowgreen
AgateH2.01G111200	brown
AgateH2.01G111300	magenta
AgateH2.01G111400	firebrick4
AgateH2.01G111600	sienna3
AgateH2.01G111700	magenta
AgateH2.01G112200	darkgrey
AgateH2.01G112300	lightyellow
AgateH2.01G112700	plum
AgateH2.01G112800	maroon
AgateH2.01G113000	yellowgreen
AgateH2.01G113100	darkorange2
AgateH2.01G113400	brown
AgateH2.01G113500	antiquewhite2
AgateH2.01G113600	darkgreen
AgateH2.01G113700	magenta4
AgateH2.01G113800	lightblue4
AgateH2.01G114000	darkmagenta
AgateH2.01G114400	sienna4
AgateH2.01G114600	palevioletred3
AgateH2.01G114700	orange
AgateH2.01G114900	navajowhite2
AgateH2.01G115200	lightcoral
AgateH2.01G115300	orangered4
AgateH2.01G115400	royalblue
AgateH2.01G115500	darkgrey
AgateH2.01G115800	honeydew1
AgateH2.01G116400	green
AgateH2.01G116500	green
AgateH2.01G116600	green
AgateH2.01G116700	green
AgateH2.01G116800	green
AgateH2.01G116900	green
AgateH2.01G117100	orangered4
AgateH2.01G117500	lightyellow
AgateH2.01G117700	violet
AgateH2.01G117800	darkred
AgateH2.01G118100	blue
AgateH2.01G118200	orangered1
AgateH2.01G118400	violet
AgateH2.01G118600	violet
AgateH2.01G118700	brown
AgateH2.01G118800	magenta4
AgateH2.01G119500	darkred
AgateH2.01G119700	floralwhite
AgateH2.01G119800	green
AgateH2.01G119900	darkturquoise
AgateH2.01G120200	royalblue
AgateH2.01G120400	darkslateblue
AgateH2.01G121700	darkorange2
AgateH2.01G121800	darkred
AgateH2.01G121900	yellowgreen
AgateH2.01G122300	saddlebrown
AgateH2.01G122400	red
AgateH2.01G122500	brown
AgateH2.01G122600	orangered4
AgateH2.01G122700	salmon4
AgateH2.01G123600	violet
AgateH2.01G123900	greenyellow
AgateH2.01G124300	green
AgateH2.01G124400	orangered4
AgateH2.01G124700	magenta
AgateH2.01G124800	honeydew
AgateH2.01G125000	salmon2
AgateH2.01G125300	greenyellow
AgateH2.01G125400	navajowhite1
AgateH2.01G125500	darkturquoise
AgateH2.01G125600	darkgrey
AgateH2.01G125700	floralwhite
AgateH2.01G125800	darkorange
AgateH2.01G125900	coral2
AgateH2.01G126100	green
AgateH2.01G126600	orangered4
AgateH2.01G126700	thistle
AgateH2.01G126800	thistle
AgateH2.01G126900	lightsteelblue1
AgateH2.01G127000	darkred
AgateH2.01G127100	greenyellow
AgateH2.01G127300	coral2
AgateH2.01G127400	orangered4
AgateH2.01G127700	darkorange2
AgateH2.01G127800	red
AgateH2.01G128000	black
AgateH2.01G128400	coral1
AgateH2.01G128500	royalblue
AgateH2.01G128600	paleturquoise
AgateH2.01G128700	orangered4
AgateH2.01G128800	purple
AgateH2.01G128900	royalblue
AgateH2.01G129000	violet
AgateH2.01G129100	magenta
AgateH2.01G129200	mediumpurple3
AgateH2.01G129400	brown
